date,temperature_2m_max,temperature_2m_min,daylight_duration,sunshine_duration,uv_index_max,uv_index_clear_sky_max,precipitation_hours,wind_speed_10m_max,shortwave_radiation_sum
2024-04-26,10.304500579833984,4.204500198364258,52803.02734375,46800.0,5.349999904632568,5.599999904632568,0.0,13.493998527526855,21.84000015258789
2024-04-27,15.104499816894531,5.1045002937316895,53028.0,17566.763671875,5.25,5.400000095367432,11.0,14.113653182983398,10.380000114440918
2024-04-28,15.254500389099121,7.804500102996826,53252.125,12025.54296875,5.550000190734863,5.650000095367432,5.0,33.059288024902344,8.960000038146973
2024-04-29,18.40450096130371,5.6045002937316895,53475.2265625,44073.6015625,5.699999809265137,5.699999809265137,0.0,17.163354873657227,19.670000076293945
2024-04-30,20.554500579833984,10.954500198364258,53697.1171875,37977.125,5.199999809265137,5.800000190734863,3.0,14.799459457397461,16.920000076293945
2024-05-01,22.204500198364258,12.654500007629395,53917.60546875,46825.19921875,5.949999809265137,5.949999809265137,3.0,16.119800567626953,23.270000457763672
2024-05-02,24.90450096130371,12.154500007629395,54136.49609375,40751.53125,6.050000190734863,6.050000190734863,4.0,20.288164138793945,22.850000381469727
2024-05-03,12.804500579833984,8.854499816894531,54353.578125,530.4732666015625,2.8499999046325684,5.800000190734863,11.0,20.37103843688965,4.5
2024-05-04,16.90450096130371,7.3545002937316895,54568.65625,31163.080078125,4.900000095367432,6.0,7.0,16.923830032348633,15.899999618530273
2024-05-05,15.004500389099121,9.254500389099121,54781.50390625,46543.3984375,6.0,6.0,4.0,14.417987823486328,24.709999084472656
2024-05-06,18.804500579833984,8.954500198364258,54991.89453125,36456.671875,5.449999809265137,6.050000190734863,0.0,12.429126739501953,18.93000030517578
2024-05-07,17.004499435424805,9.754500389099121,55199.61328125,48231.04296875,6.050000190734863,6.050000190734863,0.0,18.388212203979492,22.6200008392334
2024-05-08,14.104499816894531,9.304500579833984,55404.4140625,21117.189453125,4.5,6.099999904632568,0.0,13.708391189575195,10.869999885559082
2024-05-09,16.204500198364258,6.454500198364258,55606.05859375,46736.8125,4.599999904632568,6.25,0.0,9.5042724609375,19.93000030517578
2024-05-10,19.454500198364258,8.104499816894531,55804.296875,50317.390625,5.300000190734863,6.400000095367432,0.0,11.592894554138184,22.600000381469727
2024-05-11,21.15450096130371,11.454500198364258,55998.87109375,44312.40234375,5.949999809265137,6.400000095367432,0.0,13.708390235900879,24.850000381469727
2024-05-12,25.85449981689453,12.854499816894531,56189.80859375,49520.3125,6.199999809265137,6.400000095367432,0.0,16.750640869140625,24.850000381469727
2024-05-13,22.454500198364258,16.40450096130371,56378.62890625,40955.4296875,6.099999904632568,6.349999904632568,2.0,13.849475860595703,20.950000762939453
2024-05-14,27.304500579833984,15.004500389099121,56565.453125,42679.37109375,6.400000095367432,6.400000095367432,3.0,24.881702423095703,21.329999923706055
2024-05-15,18.90450096130371,13.704500198364258,56750.08203125,27030.169921875,5.199999809265137,6.199999809265137,9.0,12.074766159057617,16.149999618530273
2024-05-16,20.554500579833984,12.704500198364258,56932.3359375,16597.701171875,5.0,6.300000190734863,5.0,16.595178604125977,12.0600004196167
2024-05-17,15.854499816894531,12.504500389099121,57112.0234375,23233.48828125,5.599999904632568,6.349999904632568,1.0,17.0762996673584,14.329999923706055
